LAST SEEN           TYPE      REASON                              OBJECT                                                             MESSAGE
21m                 Normal    Pulling                             Pod/alertmanager-prometheus-operator-kube-p-alertmanager-0         Pulling image "quay.io/prometheus-operator/prometheus-config-reloader:v0.78.1"
20m                 Normal    Scheduled                           Pod/scaletestapp-deployment-8dc9df94d-zp5s9                        Successfully assigned default/scaletestapp-deployment-8dc9df94d-zp5s9 to minikube
20m                 Normal    ScalingReplicaSet                   Deployment/scaletestapp-deployment                                 Scaled up replica set scaletestapp-deployment-8dc9df94d to 1
20m                 Normal    SuccessfulCreate                    ReplicaSet/scaletestapp-deployment-8dc9df94d                       Created pod: scaletestapp-deployment-8dc9df94d-zp5s9
20m                 Normal    Pulling                             Pod/scaletestapp-deployment-8dc9df94d-zp5s9                        Pulling image "shestera/scaletestapp:latest"
20m                 Normal    Pulled                              Pod/prometheus-operator-grafana-87bd9dd84-nnl5b                    Successfully pulled image "docker.io/grafana/grafana:11.3.0" in 1m3.404s (1m17.472s including waiting). Image size: 485020881 bytes.
20m                 Normal    Started                             Pod/prometheus-operator-grafana-87bd9dd84-nnl5b                    Started container grafana
20m                 Normal    Created                             Pod/prometheus-operator-grafana-87bd9dd84-nnl5b                    Created container grafana
19m (x2 over 20m)   Warning   Unhealthy                           Pod/prometheus-operator-grafana-87bd9dd84-nnl5b                    Readiness probe failed: Get "http://10.244.0.6:3000/api/health": dial tcp 10.244.0.6:3000: connect: connection refused
19m                 Normal    Pulled                              Pod/alertmanager-prometheus-operator-kube-p-alertmanager-0         Successfully pulled image "quay.io/prometheus-operator/prometheus-config-reloader:v0.78.1" in 11.366s (1m11.637s including waiting). Image size: 44074497 bytes.
19m                 Normal    Created                             Pod/alertmanager-prometheus-operator-kube-p-alertmanager-0         Created container init-config-reloader
19m                 Normal    Started                             Pod/alertmanager-prometheus-operator-kube-p-alertmanager-0         Started container init-config-reloader
19m                 Normal    Pulled                              Pod/prometheus-prometheus-operator-kube-p-prometheus-0             Successfully pulled image "quay.io/prometheus-operator/prometheus-config-reloader:v0.78.1" in 1.923s (1m13.42s including waiting). Image size: 44074497 bytes.
19m                 Normal    Created                             Pod/prometheus-prometheus-operator-kube-p-prometheus-0             Created container init-config-reloader
19m                 Normal    Pulling                             Pod/alertmanager-prometheus-operator-kube-p-alertmanager-0         Pulling image "quay.io/prometheus/alertmanager:v0.27.0"
19m                 Normal    Started                             Pod/prometheus-prometheus-operator-kube-p-prometheus-0             Started container init-config-reloader
19m                 Normal    Pulling                             Pod/prometheus-prometheus-operator-kube-p-prometheus-0             Pulling image "quay.io/prometheus/prometheus:v2.55.1"
19m                 Normal    Pulled                              Pod/scaletestapp-deployment-8dc9df94d-zp5s9                        Successfully pulled image "shestera/scaletestapp:latest" in 6.77s (1m6.372s including waiting). Image size: 10812245 bytes.
19m                 Normal    Started                             Pod/scaletestapp-deployment-8dc9df94d-zp5s9                        Started container scaletestapp
19m                 Normal    Created                             Pod/scaletestapp-deployment-8dc9df94d-zp5s9                        Created container scaletestapp
19m                 Normal    Created                             Pod/alertmanager-prometheus-operator-kube-p-alertmanager-0         Created container alertmanager
19m                 Normal    Pulled                              Pod/alertmanager-prometheus-operator-kube-p-alertmanager-0         Successfully pulled image "quay.io/prometheus/alertmanager:v0.27.0" in 16.649s (23.15s including waiting). Image size: 70251154 bytes.
19m                 Normal    Started                             Pod/alertmanager-prometheus-operator-kube-p-alertmanager-0         Started container alertmanager
19m                 Normal    Pulled                              Pod/alertmanager-prometheus-operator-kube-p-alertmanager-0         Container image "quay.io/prometheus-operator/prometheus-config-reloader:v0.78.1" already present on machine
19m                 Normal    Created                             Pod/alertmanager-prometheus-operator-kube-p-alertmanager-0         Created container config-reloader
19m                 Normal    Started                             Pod/alertmanager-prometheus-operator-kube-p-alertmanager-0         Started container config-reloader
18m                 Normal    Pulled                              Pod/prometheus-prometheus-operator-kube-p-prometheus-0             Successfully pulled image "quay.io/prometheus/prometheus:v2.55.1" in 52.847s (1m14.974s including waiting). Image size: 290076924 bytes.
18m                 Normal    Created                             Pod/prometheus-prometheus-operator-kube-p-prometheus-0             Created container prometheus
18m                 Normal    Created                             Pod/prometheus-prometheus-operator-kube-p-prometheus-0             Created container config-reloader
18m                 Normal    Pulled                              Pod/prometheus-prometheus-operator-kube-p-prometheus-0             Container image "quay.io/prometheus-operator/prometheus-config-reloader:v0.78.1" already present on machine
18m                 Normal    Started                             Pod/prometheus-prometheus-operator-kube-p-prometheus-0             Started container prometheus
18m                 Normal    Started                             Pod/prometheus-prometheus-operator-kube-p-prometheus-0             Started container config-reloader
15m                 Normal    Scheduled                           Pod/prometheus-operator-kube-p-admission-create-k6vkv              Successfully assigned default/prometheus-operator-kube-p-admission-create-k6vkv to minikube
15m                 Normal    SuccessfulCreate                    Job/prometheus-operator-kube-p-admission-create                    Created pod: prometheus-operator-kube-p-admission-create-k6vkv
15m                 Normal    Pulled                              Pod/prometheus-operator-kube-p-admission-create-k6vkv              Container image "registry.k8s.io/ingress-nginx/kube-webhook-certgen:v20221220-controller-v1.5.1-58-g787ea74b6" already present on machine
15m                 Normal    Created                             Pod/prometheus-operator-kube-p-admission-create-k6vkv              Created container create
15m                 Normal    Started                             Pod/prometheus-operator-kube-p-admission-create-k6vkv              Started container create
15m                 Normal    Completed                           Job/prometheus-operator-kube-p-admission-create                    Job completed
15m                 Normal    Scheduled                           Pod/prometheus-operator-kube-p-admission-patch-qtbbz               Successfully assigned default/prometheus-operator-kube-p-admission-patch-qtbbz to minikube
15m                 Normal    SuccessfulCreate                    Job/prometheus-operator-kube-p-admission-patch                     Created pod: prometheus-operator-kube-p-admission-patch-qtbbz
15m                 Normal    Created                             Pod/prometheus-operator-kube-p-admission-patch-qtbbz               Created container patch
15m                 Normal    Pulled                              Pod/prometheus-operator-kube-p-admission-patch-qtbbz               Container image "registry.k8s.io/ingress-nginx/kube-webhook-certgen:v20221220-controller-v1.5.1-58-g787ea74b6" already present on machine
